№,Player,Team,Apps,Min,G,A,xG,xA,xG90,xA90
1,Son Heung-Min,Tottenham,35,3051,23,7,16.99-6.01,7.85+0.85,0.5,0.23
2,Mohamed Salah,Liverpool,35,2757,23,13,24.36+1.36,9.79-3.21,0.8,0.32
3,Cristiano Ronaldo,Manchester United,30,2468,18,3,17.21-0.79,4.42+1.42,0.63,0.16
4,Harry Kane,Tottenham,37,3229,17,9,20.69+3.69,9.82+0.82,0.58,0.27
5,Sadio Mané,Liverpool,34,2833,16,2,16.83+0.83,5.27+3.27,0.53,0.17
6,Kevin De-Bruyne,Manchester City,30,2214,15,8,5.95-9.05,11.26+3.26,0.24,0.46
7,Jamie Vardy,Leicester,25,1807,15,2,9.99-5.01,1.61-0.39,0.5,0.08
8,Diogo Jota,Liverpool,35,2401,15,4,17.35+2.35,5.87+1.87,0.65,0.22
9,Wilfried Zaha,Crystal Palace,33,2762,14,1,10.18-3.82,4.89+3.89,0.33,0.16
10,Raheem Sterling,Manchester City,30,2119,13,5,15.78+2.78,5.02+0.02,0.67,0.21
11,Ivan Toney,Brentford,33,2905,12,5,12.05+0.05,7.34+2.34,0.37,0.23
12,Jarrod Bowen,West Ham,36,3003,12,10,12.93+0.93,5.82-4.18,0.39,0.17
13,James Maddison,Leicester,35,2480,12,8,6.50-5.50,5.67-2.33,0.24,0.21
14,Riyad Mahrez,Manchester City,28,1468,11,5,10.12-0.88,3.93-1.07,0.62,0.24
15,Bukayo Saka,Arsenal,38,3034,11,7,9.91-1.09,7.63+0.63,0.29,0.23
16,Teemu Pukki,Norwich,37,3278,11,3,11.45+0.45,4.06+1.06,0.31,0.11
17,Mason Mount,Chelsea,32,2367,11,10,8.52-2.48,7.21-2.79,0.32,0.27
18,Raphinha,Leeds,35,2940,11,3,10.23-0.77,6.94+3.94,0.31,0.21
19,Ollie Watkins,Aston Villa,35,2970,11,2,11.50+0.50,3.00+1.00,0.35,0.09
20,Michail Antonio,West Ham,36,2994,10,8,12.79+2.79,5.77-2.23,0.38,0.17
21,James Ward-Prowse,Southampton,36,3222,10,5,5.09-4.91,6.40+1.40,0.14,0.18
22,Bruno Fernandes,Manchester United,36,3135,10,6,9.29-0.71,8.81+2.81,0.27,0.25
23,Richarlison,Everton,30,2532,10,5,10.01+0.01,4.38-0.62,0.36,0.16
24,Emile Smith-Rowe,Arsenal,33,1928,10,2,5.36-4.64,3.03+1.03,0.25,0.14
25,Emmanuel Dennis,Watford,33,2612,10,6,7.01-2.99,3.96-2.04,0.24,0.14
26,Maxwel Cornet,Burnley,26,1790,9,1,6.71-2.29,1.76+0.76,0.34,0.09
27,Phil Foden,Manchester City,28,2141,9,5,9.26+0.26,6.83+1.83,0.39,0.29
28,Ilkay Gündogan,Manchester City,27,1852,8,4,9.72+1.72,4.72+0.72,0.47,0.23
29,Callum Wilson,Newcastle United,18,1401,8,0,7.04-0.96,0.53+0.53,0.45,0.03
30,Romelu Lukaku,Chelsea,26,1571,8,0,7.02-0.98,3.36+3.36,0.4,0.19
31,Said Benrahma,West Ham,32,2208,8,6,6.16-1.84,4.77-1.23,0.25,0.19
32,Neal Maupay,Brighton,32,2271,8,2,8.24+0.24,2.44+0.44,0.33,0.1
