,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Cash,0,0,0,0,0,0,0,0,0,0
Cash & Equivalents,5490,6081,7341,6460,7168,8261,7857,8284,9352,9254
Short Term Investments,29,14,0,0,0,0,1,0,0,0
Cash and Short Term Investments,5519,6095,7341,6460,7168,8261,7858,8284,9352,9254
"Accounts Receivable - Trade, Net",8831,8326,7699,6677,5919,7376,8767,8484,7317,8477
"Total Receivables, Net",8831,17089,16726,15668,14441,16133,17417,17820,16780,17375
Total Inventory,15547,12625,12205,9700,8614,10018,11529,11266,11402,14038
"Other Current Assets, Total",11253,1626,1777,18,62,60,34,84,0,0
Total Current Assets,42138,38335,38867,33508,31967,36244,38603,39193,39464,43455
"Property/Plant/Equipment, Total - Gross",29932,0,31572,31977,31940,31538,29781,29841,29874,29496
"Accumulated Depreciation, Total",-13471,0,-14995,-15887,-16618,-17383,-16207,-16313,-16870,-16781
"Property/Plant/Equipment, Total - Net",16461,17075,16577,16090,15322,14155,13574,13528,13004,12715
Long Term Investments,272,272,257,246,249,243,0,0,0,0
"Other Long Term Assets, Total",3796,2463,3292,4328,4216,3484,3774,4159,4747,5346
Total Assets,88970,84896,84681,78342,74704,76962,78509,78453,78324,82793
Accounts Payable,6753,6560,6515,5023,4614,6487,7051,5957,6128,8154
Notes Payable/Short Term Debt,5287,3679,4708,6967,7303,4837,5723,5166,2015,5404
Current Port. of  LT Debt/Capital Leases,7104,7352,6793,5877,6662,6194,5830,6210,9149,6352
"Other Current liabilities, Total",4837,4641,4089,3321,3382,3668,3727,3665,3524,3780
Total Current Liabilities,29415,27297,27877,26242,26132,26931,28218,26621,25717,29847
Long Term Debt,27679,26719,27699,25092,22750,23410,24544,26153,25896,25954
Total Long Term Debt,27752,26719,27784,25169,22818,23847,25000,26281,25999,26033
Total Debt,40143,37750,39285,38013,36783,34878,36553,37657,37163,37789
"Other Liabilities, Total",14221,10002,12194,12046,12541,12418,11211,10922,11230,10397
Total Liabilities,71438,64085,67935,63533,61567,63265,64470,63865,62993,66309
"Common Stock, Total",4481,4709,5016,5238,5277,5593,5827,5935,6230,6398
Retained Earnings (Accumulated Deficit),0,0,0,0,0,0,0,0,0,0
Unrealized Gain (Loss),67,83,83,37,32,8,-15,20,54,20
"Other Equity, Total",-6500,-3981,-6514,-2072,-2071,-1200,-1669,-1587,-942,-1573
Total Equity,17532,20811,16746,14809,13137,13697,14039,14588,15331,16484
Total Liabilities & Shareholders' Equity,88970,84896,84681,78342,74704,76962,78509,78453,78324,82793
